Date,Type,Value
2014-05-29 00:00:00,weight,83.5
2014-05-19 00:00:00,weight,86.2
2014-05-28 00:00:00,weight,83.8
2014-05-23 00:00:00,weight,85.5
2012-05-08 00:00:00,weight,85.0
2014-05-30 00:00:00,weight,83.3
2014-04-26 00:00:00,weight,85.0
2014-05-01 00:00:00,weight,86.2
2014-05-16 00:00:00,weight,87.3
2014-06-07 00:00:00,weight,83.7
2014-06-17 00:00:00,weight,84.4
2016-06-08 00:00:00,weight,87.6
2014-05-17 00:00:00,weight,86.7
2014-05-22 00:00:00,weight,85.6
2016-06-02 00:00:00,weight,87.0
2014-06-06 00:00:00,weight,84.0
2012-05-08 00:00:00,fat_percent,33.0
