"Level 1","Level 2","Level 3","Level 4","Priority","Progress","Start","Due","Duration (Days)","Milestone","Resources",
"What is an app?","New to Qlik Sense?","https://youtu.be/RB-O4nAMTAI Qlik Sense product tour",,"","","","","         0","0","Technical - 2 hours; Product Owner; Business Analyst; C-Level - non-technical; CTO",
"What is an app?","New to Qlik Sense?","https://youtu.be/pQae9S8S_vQ?list=PLW1uf5CQ_gSq0XCJXo0s5_x05L8dJQfEr What is governed self service with Qlik Sense?",,"","","","","         0","0","Technical - 2 hours; Product Owner; Business Analyst; C-Level - non-technical; CTO",
"What is an app?","New to Qlik Sense?","https://youtu.be/dSPp6t16mJg insight advisor",,"","","","","         0","0","Technical - 2 hours; Product Owner; Business Analyst; C-Level - non-technical",
"What is an app?","New to Qlik Sense?","https://youtu.be/0qaHO9mzzIA insight advisor September 2020 update",,"","","","","         0","0","Technical - 2 hours; Product Owner; Business Analyst; C-Level - non-technical",
"What is an app?","New to Qlik Sense?","app - insight advisor.png insight advisor overview on iphone and ipad",,"","","","","         0","0","Technical - 2 hours; Product Owner; Business Analyst; C-Level - non-technical",
"What is an app?","New to Qlik Sense?","https://youtu.be/gWNoyL6fZxo The Qlik Associative Model",,"","","","","         0","0","Introduction - 30 minutes, Business Analyst, CTO, Product Owner, Developer",
"What is an app?","New to Qlik Sense?","https://youtu.be/I8Ls7DDtkxE Create Your First App and Visualization ",,"","","","","         0","0","Technical - 1 day",
"What is an app?","New to Qlik Sense?","[If you want to learn more go to Qlik Community](https://community.qlik.com/docs/DOC-6932) or [visit Qlik help - getting started](https://help.qlik.com/en-US/sense/September2020/Subsystems/Hub/Content/Sense_Hub/Introduction/get-started.htm)",,"","","","","         0","0","Technical - 2 hours",
"What is an app?","New to Qlik Sense?","[New to Qlik Sense YouTube channel](https://www.youtube.com/channel/UCFxZPr8pHfZS0n3jxx74rpA)",,"","","","","         0","0","Business Analyst, CTO, Developer",
"What is an app?","Try the demo below: What is governed self service with Qlik Sense?","iframe selfService_embedded self service demo",,"","","","","         0","0","Introduction - 30 minutes, CTO, Business Analyst, Product Owner",
"What is an app?","Try the demo below: What is governed self service with Qlik Sense?","!comment
Click on the link to see our self-service demo. With our governed self-service you have the possibility to define how to implement guided self-service. By creating roles or groups we have created different levels of self service on Qlik Sense.
 - A consumer can only analyze data.
 - A contributor can create own private sheets.
 - A developer has the possibility to create its own sheets and apps.
 - An admin can maintain the content of its department through the Qlik Management Console (QMC).

By using row level security each user can only see the data it has access to.
In the example here, John can only see data from Germany and Linda can only see data from the USA while Martin can see all the data.",,,,,,,,,
"Integration.qlik.com demo platform","History","In this presentation we *demonstrate a sample SaaS platform* with Qlik Sense embedded including:
- The “look and feel” of an integrated solution
- The possibility to include different ""self service"" levels
- “Security”, re-using the security of your SaaS platform in Qlik Sense
- “SaaS provisioning”, create apps based on templates using the data(base) of each customer.
- ""Best practices"" and example source code",,"","","","","         0","0","Technical - 1 hour, CTO, C-Level - non-technical, Integration summary",
"Integration.qlik.com demo platform","History","Use the menu in the top to go to your favorite demo.",,"","","","","         0","0","Technical - 1 hour, CTO, C-Level - non-technical, Integration summary",
"Integration.qlik.com demo platform","History","useCasesOverview.png",,"","","","","         0","0","Technical - 1 hour, CTO, C-Level - non-technical, Integration summary",
"Integration.qlik.com demo platform","History","!comment
This website is completely focused in showing the key differentiators of our Qlik Sense APIs. What makes us truly unique?  
The website demonstrates a sample SaaS platform with Qlik Sense embedded. If focuses on the following topics through demos and demonstrations:
 - SaaS Provisioning: How can you embed the power of Qlik Sense  within a multi-tenant SaaS application environment. The demo shows you how you can automatically copy and distribute a Template application to each of your customers with their own data.
 - Self Service: This demo shows you the flexible possibilities of creating a personalized dashboard and report through different levels of self service.
 - Embed Qlik Sense: Qlik Sense is a software built from the ground up with the most recent web technologies. In this demo we show the different possibilities to embed Qlik Sense in your web platform.
 - Slide Generator: A collection of presentations and workshops about web, security and API integration with Qlik Sense. The slides are dynamically generated by out Engine API.  
 - Integration Questions? : Here you can find further in depth documentation and videos about integrating Qlik Sense in your platform.",,,,,,,,,
"Integration.qlik.com demo platform","Introduction to a SaaS multi-tenant scenario","multi-tenant SaaS Applications SaaS application with Qlik Sense.png",,"","","","","         0","0","Introduction - 30 minutes, C-Level - non-technical",
