"Level 1";"Level 2";"Level 3";"Priority";"Progress";"Start";"Due";"Duration (Days)";"Milestone";"Resources";
"Authentication";"Options to authenticate";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/securityIntroduction.md";;;;;;;;
"Authentication source code and tutorials";"Use JWT and embed sheet with IFrame ";"https://raw.githubusercontent.com/QHose/qlik-cloud-localserver-jwt-IFrame/main/README.md";;;;;;;;
"Authentication source code and tutorials";"Use JWT with Javascript (NodeJS)";"https://raw.githubusercontent.com/apamo/JWT-with-NodeJS-on-Qlik-Sense-SaaS/main/README.md";;;;;;;;
"Authentication source code and tutorials";"Use JWT with .NET";"https://youtu.be/1kQU2VHSHOs";;;;;;;;
"Authentication source code and tutorials";"Use JWT with .NET";"https://raw.githubusercontent.com/jacobvinzent/JWT-with-.Net-on-Qlik-Sense-SaaS/main/README.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Authentication source code and tutorials";"Use JWT with JAVA ";"https://raw.githubusercontent.com/jacobvinzent/JWT-with-JAVA-on-Qlik-Sense-SaaS/master/Readme.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Authentication source code and tutorials";"Use active directory on Azure";"[How To: Configure Qlik Sense Enterprise SaaS to use Azure AD as an IdP.](https://community.qlik.com/t5/Official-Support-Articles/How-To-Configure-Qlik-Sense-Enterprise-SaaS-to-use-Azure-AD-as/at-p/1704442)";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Authentication source code and tutorials";"Use active directory on Azure";"https://youtu.be/d3WpPGTmmC0";;;;;;;;
"Authorization";"Introduction to authorizations";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/authorizations.md";;;;;;;;
"Authorization";"Introduction to authorizations";"> For OEM purposes we recommend to use the managed space approach only. This ensures users do NOT have the capability to create/edit data connections. 

Also make sure to turn off `Professional entitlements can create private analytics content` under `Settings > Entitlement` in the Management Console.";;;;;;;;
"Authorization";"Restrict access to functionality";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/Restrict%20access%20to%20functionality.md";;;;;;;;
"Authorization";"Restrict access to data  (section access)";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/Restrict%20access%20to%20datan(section%20access).md";;;;;;;;
"API introduction";"Qlik Cloud APIs";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/APIIntroduction.md";;;;;;;;
"API introduction";"End to  end tutorials";"[Visit Qlik dev website for a tutorial on how to use the APIs to setup a multitenant environment](https://qlik.dev/tutorials/platform-operations-overview)";;;;;;;;
"API introduction";"End to  end tutorials";"qlik dev example.png";;;;;;;;
"API introduction";"End to end examples";"[Visit Qlik OSS for examples](https://github.com/qlik-oss/qlik-platform-examples/tree/main/qlik.dev/tutorials/platform-operations)";;;;;;;;
"API introduction";"End to end examples";"end to end examples.png";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"With multitenant provisioning, Qlik offers the ability to automate with flexible cloud APIs, key onboarding and maintenance tasks including tenant creation, configuration and ongoing content hydration at scale for both OEM ISV partners and enterprise customers.";;;;;;;;
